pattern,impl,repeat,orders,elapsed_ns,ops_per_sec,checksum
homog_A,virtual,0,800000,30169400,26516934.377,75178391220405
homog_A,virtual,1,800000,31609700,25308686.890,75178391220405
homog_A,virtual,2,800000,33889300,23606271.006,75178391220405
homog_A,virtual,3,800000,32205900,24840169.037,75178391220405
homog_A,virtual,4,800000,32614200,24529192.806,75178391220405
homog_A,virtual,5,800000,30862300,25921593.660,75178391220405
homog_A,virtual,6,800000,30840900,25939580.233,75178391220405
homog_A,virtual,7,800000,29981500,26683121.258,75178391220405
homog_A,virtual,8,800000,29652600,26979084.465,75178391220405
homog_A,virtual,9,800000,29244300,27355758.216,75178391220405
homog_A,virtual,10,800000,28885800,27695268.956,75178391220405
homog_A,virtual,11,800000,30245900,26449865.932,75178391220405
homog_A,virtual,best,-,-,28885800,-,-
homog_A,virtual,median,-,-,30840900,-,-
homog_A,virtual,average,-,-,30850150,-,-
homog_A,nonvirtual,0,800000,4122000,194080543.426,75178391220405
homog_A,nonvirtual,1,800000,4172700,191722385.985,75178391220405
homog_A,nonvirtual,2,800000,4030500,198486540.131,75178391220405
homog_A,nonvirtual,3,800000,4397300,181929820.572,75178391220405
homog_A,nonvirtual,4,800000,4107900,194746707.563,75178391220405
homog_A,nonvirtual,5,800000,3937200,203190084.324,75178391220405
homog_A,nonvirtual,6,800000,4559700,175450139.264,75178391220405
homog_A,nonvirtual,7,800000,3871400,206643591.466,75178391220405
homog_A,nonvirtual,8,800000,4155000,192539109.507,75178391220405
homog_A,nonvirtual,9,800000,4216600,189726319.784,75178391220405
homog_A,nonvirtual,10,800000,4502700,177671175.073,75178391220405
homog_A,nonvirtual,11,800000,4803300,166552162.055,75178391220405
homog_A,nonvirtual,best,-,-,3871400,-,-
homog_A,nonvirtual,median,-,-,4172700,-,-
homog_A,nonvirtual,average,-,-,4239691,-,-
mixed_50_50,virtual,0,800000,19101200,41882185.412,7650721038158337371
mixed_50_50,virtual,1,800000,19994500,40011003.026,7650721038158337371
mixed_50_50,virtual,2,800000,20680600,38683597.188,7650721038158337371
mixed_50_50,virtual,3,800000,18823400,42500292.190,7650721038158337371
mixed_50_50,virtual,4,800000,18776300,42606903.384,7650721038158337371
mixed_50_50,virtual,5,800000,18517100,43203309.373,7650721038158337371
mixed_50_50,virtual,6,800000,18992600,42121668.439,7650721038158337371
mixed_50_50,virtual,7,800000,19376500,41287126.158,7650721038158337371
mixed_50_50,virtual,8,800000,18852000,42435815.829,7650721038158337371
mixed_50_50,virtual,9,800000,19602500,40811121.030,7650721038158337371
mixed_50_50,virtual,10,800000,19730500,40546362.231,7650721038158337371
mixed_50_50,virtual,11,800000,19035900,42025856.408,7650721038158337371
mixed_50_50,virtual,best,-,-,18517100,-,-
mixed_50_50,virtual,median,-,-,19101200,-,-
mixed_50_50,virtual,average,-,-,19290258,-,-
mixed_50_50,nonvirtual,0,800000,5893200,135749677.595,7650721038158337371
mixed_50_50,nonvirtual,1,800000,6308200,126819060.905,7650721038158337371
mixed_50_50,nonvirtual,2,800000,5984800,133671968.988,7650721038158337371
mixed_50_50,nonvirtual,3,800000,6400300,124994140.900,7650721038158337371
mixed_50_50,nonvirtual,4,800000,6146100,130163843.738,7650721038158337371
mixed_50_50,nonvirtual,5,800000,6199300,129046827.868,7650721038158337371
mixed_50_50,nonvirtual,6,800000,6168400,129693275.404,7650721038158337371
mixed_50_50,nonvirtual,7,800000,6130600,130492937.070,7650721038158337371
mixed_50_50,nonvirtual,8,800000,6311900,126744720.290,7650721038158337371
mixed_50_50,nonvirtual,9,800000,6181400,129420519.623,7650721038158337371
mixed_50_50,nonvirtual,10,800000,6353400,125916831.933,7650721038158337371
mixed_50_50,nonvirtual,11,800000,5858700,136549063.785,7650721038158337371
mixed_50_50,nonvirtual,best,-,-,5858700,-,-
mixed_50_50,nonvirtual,median,-,-,6181400,-,-
mixed_50_50,nonvirtual,average,-,-,6161358,-,-
bursty_64A16B,virtual,0,800000,23548800,33972007.066,10409746006672319819
bursty_64A16B,virtual,1,800000,23821100,33583671.619,10409746006672319819
bursty_64A16B,virtual,2,800000,23643300,33836224.216,10409746006672319819
bursty_64A16B,virtual,3,800000,22854300,35004353.666,10409746006672319819
bursty_64A16B,virtual,4,800000,23497600,34046030.233,10409746006672319819
bursty_64A16B,virtual,5,800000,23171900,34524575.024,10409746006672319819
bursty_64A16B,virtual,6,800000,23167100,34531728.184,10409746006672319819
bursty_64A16B,virtual,7,800000,23379500,34218011.506,10409746006672319819
bursty_64A16B,virtual,8,800000,23852100,33540023.730,10409746006672319819
bursty_64A16B,virtual,9,800000,23505800,34034153.273,10409746006672319819
bursty_64A16B,virtual,10,800000,24548500,32588549.199,10409746006672319819
bursty_64A16B,virtual,11,800000,25371200,31531815.602,10409746006672319819
bursty_64A16B,virtual,best,-,-,22854300,-,-
bursty_64A16B,virtual,median,-,-,23548800,-,-
bursty_64A16B,virtual,average,-,-,23696766,-,-
bursty_64A16B,nonvirtual,0,800000,4120800,194137060.765,10409746006672319819
bursty_64A16B,nonvirtual,1,800000,4250200,188226436.403,10409746006672319819
bursty_64A16B,nonvirtual,2,800000,4450100,179771241.096,10409746006672319819
bursty_64A16B,nonvirtual,3,800000,4084700,195852816.608,10409746006672319819
bursty_64A16B,nonvirtual,4,800000,4239100,188719303.626,10409746006672319819
bursty_64A16B,nonvirtual,5,800000,4111000,194599854.050,10409746006672319819
bursty_64A16B,nonvirtual,6,800000,3927200,203707476.064,10409746006672319819
bursty_64A16B,nonvirtual,7,800000,4228100,189210283.579,10409746006672319819
bursty_64A16B,nonvirtual,8,800000,3938000,203148806.501,10409746006672319819
bursty_64A16B,nonvirtual,9,800000,4627400,172883260.578,10409746006672319819
bursty_64A16B,nonvirtual,10,800000,4612300,173449255.252,10409746006672319819
bursty_64A16B,nonvirtual,11,800000,3894400,205423171.734,10409746006672319819
bursty_64A16B,nonvirtual,best,-,-,3894400,-,-
bursty_64A16B,nonvirtual,median,-,-,4228100,-,-
bursty_64A16B,nonvirtual,average,-,-,4206941,-,-
