Side,Price,Latency
SELL,107,122585029579
BUY,104,122585045181
BUY,100,122585061161
SELL,109,122585076986
BUY,104,122585092032
SELL,108,122585107191
BUY,102,122585139124
BUY,101,122585200902
SELL,107,122585216407
BUY,101,122585233385
SELL,105,122585262351
BUY,102,122585278273
SELL,107,122585293953
BUY,101,122585325401
SELL,104,122585341216
SELL,106,122585433583
BUY,105,122585463961
BUY,101,122585510366
SELL,108,122585525581
BUY,102,122585555688
SELL,107,122585571344
BUY,105,122585602705
BUY,101,122585727481
SELL,108,122585773771
BUY,104,122585803921
SELL,107,122585835290
BUY,103,122585880956
SELL,109,122585912150
BUY,100,122585974881
SELL,108,122586006364
BUY,100,122586037589
SELL,108,122586084661
BUY,100,122586131077
SELL,109,122586146901
BUY,100,122586162394
SELL,106,122586192622
BUY,101,122586208385
SELL,108,122586239329
BUY,103,122586271686
BUY,100,122586332609
SELL,106,122586347836
BUY,101,122586380608
SELL,108,122586395247
BUY,104,122586410363
SELL,109,122586426090
BUY,106,122586446187
BUY,103,122586457491
SELL,107,122586473456
BUY,102,122586521565
SELL,109,122586538065
BUY,101,122586552944
SELL,109,122586599273
BUY,104,122586629926
BUY,100,122586645989
SELL,107,122586661119
BUY,103,122586692741
SELL,106,122586707434
BUY,101,122586723891
SELL,105,122586739734
SELL,109,122586802381
BUY,103,122586833554
SELL,107,122586848412
BUY,102,122586864150
SELL,106,122586880346
BUY,100,122586896218
SELL,106,122586927058
BUY,101,122587003157
SELL,104,122587080592
BUY,100,122587110506
SELL,107,122587126465
BUY,101,122587142172
SELL,107,122587157995
BUY,103,122587219054
SELL,109,122587265181
BUY,101,122587312172
SELL,108,122587327715
BUY,102,122587343888
SELL,106,122587359442
BUY,100,122587390313
SELL,103,122587406483
SELL,108,122587422017
BUY,100,122587437181
SELL,105,122587484737
BUY,100,122587500596
SELL,109,122587516250
BUY,104,122587531160
SELL,107,122587546583
BUY,103,122587592940
BUY,101,122587623560
SELL,106,122587684597
BUY,100,122587715810
SELL,106,122587730453
BUY,101,122587745963
SELL,108,122587761151
BUY,104,122587806909
BUY,101,122587822094
SELL,104,122587837311
SELL,109,122587868738
BUY,100,122587914067
SELL,108,122587929315
BUY,103,122587990686
SELL,108,122588006265
BUY,103,122588021016
SELL,107,122588037063
BUY,101,122588052254
SELL,107,122588083874
BUY,103,122588099061
SELL,109,122588130346
BUY,106,122588146207
BUY,101,122588178061
SELL,109,122588209219
BUY,106,122588240091
BUY,103,122588271207
SELL,108,122588302014
BUY,104,122588318089
SELL,109,122588332859
BUY,102,122588363466
SELL,105,122588379480
SELL,107,122588457329
BUY,104,122588473254
SELL,108,122588504650
BUY,100,122588519943
SELL,108,122588535094
BUY,100,122588566109
SELL,106,122588581891
BUY,101,122588613148
SELL,109,122588628411
BUY,102,122588688964
SELL,108,122588720069
BUY,102,122588735727
SELL,108,122588751269
BUY,100,122588781798
SELL,107,122588797496
BUY,101,122588829043
SELL,105,122588844695
SELL,108,122588860564
BUY,101,122588891124
SELL,105,122588953155
SELL,108,122588968599
BUY,102,122589000083
SELL,106,122589030320
SELL,109,122589076366
BUY,102,122589091106
BUY,101,122589137939
SELL,108,122589153247
BUY,102,122589168863
SELL,109,122589215634
BUY,102,122589260955
SELL,109,122589276670
BUY,105,122589291941
BUY,102,122589307856
SELL,103,122589353628
SELL,109,122589369341
BUY,101,122589384390
SELL,108,122589399836
BUY,101,122589415689
SELL,109,122589430951
BUY,105,122589446163
SELL,105,122589493292
BUY,102,122589509164
SELL,105,122589523840
SELL,108,122589539491
BUY,102,122589602954
SELL,109,122589634004
BUY,104,122589649221
BUY,101,122589665147
SELL,109,122589681149
BUY,106,122589697090
SELL,109,122589712396
BUY,102,122589744021
SELL,105,122589759384
SELL,109,122589806333
BUY,101,122589821268
SELL,105,122589851695
BUY,100,122589867108
SELL,108,122589882394
BUY,103,122589897557
SELL,109,122589913124
BUY,103,122589928480
SELL,109,122589943955
BUY,106,122589959477
